KEYWORD[1:1]: program
IDENTIFIER[1:9]: factorialcalculator
PUNCTUATION[1:28]: ;

IDENTIFIER[2:1]: uses
IDENTIFIER[2:6]: crt
PUNCTUATION[2:9]: ;

KEYWORD[4:1]: var

IDENTIFIER[5:3]: number
PUNCTUATION[5:9]: ,
IDENTIFIER[5:11]: i
PUNCTUATION[5:12]: :
KEYWORD[5:14]: integer
PUNCTUATION[5:21]: ;

IDENTIFIER[6:3]: factorial
PUNCTUATION[6:12]: :
IDENTIFIER[6:14]: longint
PUNCTUATION[6:21]: ;

KEYWORD[8:1]: begin

IDENTIFIER[9:3]: clrscr
PUNCTUATION[9:9]: ;

KEYWORD[10:3]: writeln
PUNCTUATION[10:10]: (
STRING_LIT[10:11]: 'Enter a number to calculate its factorial:'
PUNCTUATION[10:55]: )
PUNCTUATION[10:56]: ;

KEYWORD[11:3]: readln
PUNCTUATION[11:9]: (
IDENTIFIER[11:10]: number
PUNCTUATION[11:16]: )
PUNCTUATION[11:17]: ;

IDENTIFIER[13:3]: factorial
PUNCTUATION[13:13]: :=
INTEGER_LIT[13:16]: 1
PUNCTUATION[13:17]: ;

KEYWORD[15:3]: for
IDENTIFIER[15:7]: i
PUNCTUATION[15:9]: :=
INTEGER_LIT[15:12]: 1
KEYWORD[15:14]: to
IDENTIFIER[15:17]: number
KEYWORD[15:24]: do

KEYWORD[16:3]: begin

IDENTIFIER[17:5]: factorial
PUNCTUATION[17:15]: :=
IDENTIFIER[17:18]: factorial
OPERATOR[17:28]: *
IDENTIFIER[17:30]: i
PUNCTUATION[17:31]: ;

KEYWORD[18:3]: end
PUNCTUATION[18:6]: ;

KEYWORD[20:3]: writeln
PUNCTUATION[20:10]: (
STRING_LIT[20:11]: 'The factorial of '
PUNCTUATION[20:30]: ,
IDENTIFIER[20:32]: number
PUNCTUATION[20:38]: ,
STRING_LIT[20:40]: ' is '
PUNCTUATION[20:46]: ,
IDENTIFIER[20:48]: factorial
PUNCTUATION[20:57]: )
PUNCTUATION[20:58]: ;

KEYWORD[21:3]: readln
PUNCTUATION[21:9]: ;

KEYWORD[22:1]: end
PUNCTUATION[22:4]: .
